programTime (s),relativeTime (s),torque (ozin),torque (gfcm),torque (inlb),torque (mNm)
7.278,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.399,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.52,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.641,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.762,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
7.883,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
8.004,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
8.125,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
8.246,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
8.367,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
8.487,0.0,0.029999999329447746,2.1602336706750136,0.0018749999370904844,0.21184655526486038
8.608,0.0,0.029999999329447746,2.1602336706750136,0.0018749999370904844,0.21184655526486038
8.729,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
8.849,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
8.97,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.091,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.211,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.332,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.453,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.573,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.694,0.0,0.03999999910593033,2.8803115609000183,0.002499999916120646,0.2824620736864805
9.815,0.0,0.05000000074505806,3.6003895852499848,0.003125000011566128,0.35307760526126625
9.935,0.0,0.07000000029802322,5.040545365699994,0.004374999969626451,0.4943086421045065
10.055,0.0,0.10000000149011612,7.2007791704999695,0.006250000023132256,0.7061552105225325
10.176,0.0,0.14000000059604645,10.081090731399987,0.008749999939252903,0.988617284209013
10.297,0.0,0.20000000298023224,14.401558340999939,0.012500000046264512,1.412310421045065
10.417,0.0,0.25999999046325684,18.722024877600195,0.016249999221953557,1.8360034526557922
10.537,0.0,0.3199999928474426,23.042492487200146,0.01999999932896517,2.259696589491844
10.658,0.0,0.38999998569488525,28.08303731640029,0.024374998832930338,2.754005178983688
10.778,0.0,0.46000000834465027,33.123584291599826,0.028750000199540635,3.248313978926182
10.899,0.0,0.5400000214576721,38.88420848639956,0.033750000963104494,3.8132382315244673
11.02,0.0,0.6100000143051147,43.9247533155997,0.03812500046706966,4.307546821016311
11.141,0.0,0.6700000166893005,48.24522092519965,0.04187500057408127,4.731239957852363
11.261,0.0,0.7300000190734863,52.565688534799605,0.04562500068109288,5.154933094688415
11.382,0.0,0.7799999713897705,56.16607463280058,0.048749997665860675,5.508010357967376
11.503,0.0,0.8199999928474426,59.04638780320014,0.051249998978965164,5.790472589491844
11.623,0.0,0.8600000143051147,61.9267009735997,0.05375000029206966,6.072934821016312
11.744,0.0,0.8999999761581421,64.80700985200048,0.0562499978798839,6.35539663163948
11.865,0.0,0.9300000071525574,66.96724580279985,0.05812499979603483,6.567243410508156
11.985,0.0,0.9599999785423279,69.12747746160044,0.0599999979868955,6.779089768475532
12.105,0.0,0.9900000095367432,71.2877134123998,0.061874999903046436,6.990936547344208
12.226,0.0,1.0199999809265137,73.44794507120038,0.06374999809390712,7.202782905311584
12.347,0.0,1.059999942779541,76.32825394960116,0.06624999568172135,7.485244715934753
12.468,0.0,1.090000033378601,78.48849419239932,0.06812500132316254,7.697091915704727
12.589,0.0,1.1200000047683716,80.6487258511999,0.06999999951402322,7.908938273672104
12.708,0.0,1.149999976158142,82.80895751000048,0.0718749977048839,8.12078463163948
12.829,0.0,1.190000057220459,85.68927497239882,0.07437500274327864,8.403247284065246
